AssignmentId,AgentId,LeadId,TaskTypeId,Title,StartDateTime,EndDateTime,Location,MeetingStatusId,PriorityId,ReminderSent,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn
1,20,17680,2,Real control natural on behavior.,2024-08-26 21:42:25.100301,2024-08-26 22:42:25.100301,Office,5,5,1,SYSTEM,2024-08-26 21:42:25.100301,,
2,9,14811,3,Job agree account father information argue book chance.,2024-04-09 19:42:25.100301,2024-04-09 20:42:25.100301,Client Site,4,2,0,SYSTEM,2024-04-09 19:42:25.100301,,
3,2,16460,3,Focus animal charge foot tell center.,2025-05-17 20:42:25.100301,2025-05-17 21:42:25.100301,Video Call,3,3,1,SYSTEM,2025-05-17 20:42:25.100301,,
4,18,4815,3,Son must career fire smile ahead particular treatment.,2024-01-02 18:42:25.100301,2024-01-02 19:42:25.100301,Office,4,3,1,SYSTEM,2024-01-02 18:42:25.100301,,
5,11,7758,4,Realize leg writer hit.,2024-03-07 15:42:25.100301,2024-03-07 16:42:25.100301,Video Call,1,4,1,SYSTEM,2024-03-07 15:42:25.100301,,
6,6,9690,2,Ready response fast.,2024-05-29 22:42:25.100301,2024-05-29 23:42:25.100301,Office,1,3,1,SYSTEM,2024-05-29 22:42:25.100301,,
7,20,16704,5,Across occur fish must.,2024-10-16 01:42:25.100301,2024-10-16 02:42:25.100301,Client Site,6,5,1,SYSTEM,2024-10-16 01:42:25.100301,,
8,11,12975,1,Drive green run without provide.,2024-06-26 01:42:25.100301,2024-06-26 02:42:25.100301,Client Site,5,3,0,SYSTEM,2024-06-26 01:42:25.100301,,
9,11,3768,1,Some truth yeah PM place phone voice.,2024-07-13 00:42:25.100301,2024-07-13 01:42:25.100301,Video Call,3,3,0,SYSTEM,2024-07-13 00:42:25.100301,,
10,8,1958,3,Avoid party student worker actually former opportunity size.,2024-06-16 16:42:25.100301,2024-06-16 17:42:25.100301,Client Site,1,1,0,SYSTEM,2024-06-16 16:42:25.100301,,
11,8,17869,1,Teacher according everyone space capital.,2025-07-14 00:42:25.100301,2025-07-14 01:42:25.100301,Office,4,1,1,SYSTEM,2025-07-14 00:42:25.100301,,
